"route_id","service_id","trip_id","trip_headsign","direction_id","block_id","shape_id"
4089,26082_D_1046761,1046761_D_1_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_001M","26082_I"
4089,26082_D_1046761,1046761_D_1_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_001M","26082_V"
4089,26082_D_1046761,1046761_D_2_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_002M","26082_I"
4089,26082_D_1046761,1046761_D_2_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_002M","26082_V"
4089,26082_D_1046761,1046761_D_3_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_002T","26082_I"
4089,26082_D_1046761,1046761_D_3_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_002T","26082_V"
4089,26082_D_1046761,1046761_D_4_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_002T","26082_I"
4089,26082_D_1046761,1046761_D_4_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_002T","26082_V"
4089,26082_D_1046761,1046761_D_5_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_003M","26082_I"
4089,26082_D_1046761,1046761_D_5_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_003M","26082_V"
4089,26082_D_1046761,1046761_D_6_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_003T","26082_I"
4089,26082_D_1046761,1046761_D_6_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_003T","26082_V"
4089,26082_D_1046761,1046761_D_7_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_003T","26082_I"
4089,26082_D_1046761,1046761_D_7_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_003T","26082_V"
4089,26082_D_1046761,1046761_D_8_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_004M","26082_I"
4089,26082_D_1046761,1046761_D_8_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_004M","26082_V"
4089,26082_D_1046761,1046761_D_9_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_004M","26082_I"
4089,26082_D_1046761,1046761_D_9_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_004M","26082_V"
4089,26082_D_1046761,1046761_D_10_0,"*SUSSUARANA X BARRA R1 VIA COMÉRCIO/C.GRANDE",0,"4089_004M","26082_I"
4089,26082_D_1046761,1046761_D_11_1,"*BARRA R1 X SUSSUARANA VIA GARIBALDI/ITAIGARA",1,"4089_004T","26082_V"
