schedule_id,duty_id,driver_id,sequence,event_type,event_label,event_scope,line_code,direction,start_time,end_time,duration_minutes,trip_id,trip_ids,trip_count,origin_id,destination_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence_in_duty,sequence_in_bundle,explanation
435,1,1,1,duty_start,Início de jornada,driver,,,05:15,05:15,0,,,0,1,1,,,,,,
435,1,1,2,commercial_trip,Viagem,trip,1042,IDA,05:15,05:29,14,5437,5437,1,1,2,1,,,1,1,Segmento operacional agrupado com 2 viagens reais.
435,1,1,2,commercial_trip,Viagem,trip,1042,VOLTA,05:29,05:41,12,5441,5441,1,2,1,1,,,2,2,Segmento operacional agrupado com 2 viagens reais.
435,1,1,3,normal_break,Intervalo normal,driver,,,05:41,06:00,19,,,0,1,1,,1,1,,,
435,1,1,4,commercial_trip,Viagem,trip,1042,IDA,06:00,06:15,15,5451,5451,1,1,2,1,,,3,1,Segmento operacional agrupado com 2 viagens reais.
435,1,1,4,commercial_trip,Viagem,trip,1042,VOLTA,06:15,06:27,12,5457,5457,1,2,1,1,,,4,2,Segmento operacional agrupado com 2 viagens reais.
435,1,1,5,normal_break,Intervalo normal,driver,,,06:27,06:42,15,,,0,1,1,,1,1,,,
435,1,1,6,commercial_trip,Viagem,trip,1042,IDA,06:42,06:57,15,5470,5470,1,1,2,1,,,5,1,Segmento operacional agrupado com 2 viagens reais.
435,1,1,6,commercial_trip,Viagem,trip,1042,VOLTA,06:57,07:09,12,5475,5475,1,2,1,1,,,6,2,Segmento operacional agrupado com 2 viagens reais.
435,1,1,7,duty_end,Fim de jornada,driver,,,07:09,07:09,0,,,0,1,1,,,,,,
435,2,2,1,duty_start,Início de jornada,driver,,,04:20,04:20,0,,,0,1,1,,,,,,
435,2,2,2,pullout,Soltura,driver,,,04:20,04:30,10,,,0,1,1,,,,,,
435,2,2,3,commercial_trip,Viagem,trip,1067,IDA,04:30,05:06,36,5431,5431,1,1,2,2,,,1,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,3,commercial_trip,Viagem,trip,1067,VOLTA,05:06,05:31,25,5439,5439,1,2,1,2,,,2,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,4,normal_break,Intervalo normal,driver,,,05:31,05:49,18,,,0,1,1,,2,2,,,
435,2,2,5,commercial_trip,Viagem,trip,1048,IDA,05:49,06:01,12,5448,5448,1,1,2,2,,,3,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,5,commercial_trip,Viagem,trip,1048,VOLTA,06:01,06:08,7,5449,5449,1,2,1,2,,,4,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,6,normal_break,Intervalo normal,driver,,,06:08,06:26,18,,,0,1,1,,2,2,,,
435,2,2,7,commercial_trip,Viagem,trip,1042,IDA,06:26,06:41,15,5463,5463,1,1,2,2,,,5,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,7,commercial_trip,Viagem,trip,1042,VOLTA,06:41,06:53,12,5468,5468,1,2,1,2,,,6,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,8,normal_break,Intervalo normal,driver,,,06:53,07:10,17,,,0,1,1,,2,2,,,
435,2,2,9,commercial_trip,Viagem,trip,1042,IDA,07:10,07:26,16,5482,5482,1,1,2,2,,,7,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,9,commercial_trip,Viagem,trip,1042,VOLTA,07:26,07:39,13,5487,5487,1,2,1,2,,,8,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,10,driver_vehicle_change,Troca de veículo,driver,,,07:39,07:39,0,,,0,1,1,,2,8,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
435,2,2,11,normal_break,Intervalo normal,driver,,,07:39,07:55,16,,,0,1,1,,2,8,,,
435,2,2,12,commercial_trip,Viagem,trip,1042,IDA,07:55,08:11,16,5498,5498,1,1,2,8,,,9,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,12,commercial_trip,Viagem,trip,1042,VOLTA,08:11,08:24,13,5502,5502,1,2,1,8,,,10,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,13,driver_vehicle_change,Troca de veículo,driver,,,08:24,08:24,0,,,0,1,1,,8,2,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
435,2,2,14,normal_break,Intervalo normal,driver,,,08:24,08:47,23,,,0,1,1,,8,2,,,
435,2,2,15,commercial_trip,Viagem,trip,1048,IDA,08:47,09:00,13,5512,5512,1,1,2,2,,,11,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,15,commercial_trip,Viagem,trip,1048,VOLTA,09:00,09:08,8,5514,5514,1,2,1,2,,,12,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,16,driver_vehicle_change,Troca de veículo,driver,,,09:08,09:08,0,,,0,1,1,,2,8,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
435,2,2,17,normal_break,Intervalo normal,driver,,,09:08,10:55,107,,,0,1,1,,2,8,,,
435,2,2,18,commercial_trip,Viagem,trip,1067,IDA,10:55,11:34,39,5553,5553,1,1,2,8,,,13,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,18,commercial_trip,Viagem,trip,1067,VOLTA,11:34,12:00,26,5561,5561,1,2,1,8,,,14,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,19,driver_vehicle_change,Troca de veículo,driver,,,12:00,12:00,0,,,0,1,1,,8,4,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
435,2,2,20,mandatory_rest,Descanso obrigatório,driver,,,12:00,15:11,191,,,0,1,1,,8,4,,,
435,2,2,21,commercial_trip,Viagem,trip,1048,IDA,15:11,15:23,12,5609,5609,1,1,2,4,,,15,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,21,commercial_trip,Viagem,trip,1048,VOLTA,15:23,15:31,8,5612,5612,1,2,1,4,,,16,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,22,mandatory_rest,Descanso obrigatório,driver,,,15:31,15:50,19,,,0,1,1,,4,4,,,
435,2,2,23,commercial_trip,Viagem,trip,1042,IDA,15:50,16:07,17,5620,5620,1,1,2,4,,,17,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,23,commercial_trip,Viagem,trip,1042,VOLTA,16:07,16:18,11,5624,5624,1,2,1,4,,,18,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,24,mandatory_rest,Descanso obrigatório,driver,,,16:18,16:40,22,,,0,1,1,,4,4,,,
435,2,2,25,commercial_trip,Viagem,trip,1042,IDA,16:40,16:58,18,5633,5633,1,1,2,4,,,19,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,25,commercial_trip,Viagem,trip,1042,VOLTA,16:58,17:09,11,5637,5637,1,2,1,4,,,20,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,26,driver_vehicle_change,Troca de veículo,driver,,,17:09,17:09,0,,,0,1,1,,4,11,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
435,2,2,27,mandatory_rest,Descanso obrigatório,driver,,,17:09,17:39,30,,,0,1,1,,4,11,,,
435,2,2,28,commercial_trip,Viagem,trip,1048,IDA,17:39,17:55,16,5648,5648,1,1,2,11,,,21,1,Segmento operacional agrupado com 2 viagens reais.
435,2,2,28,commercial_trip,Viagem,trip,1048,VOLTA,17:55,18:03,8,5651,5651,1,2,1,11,,,22,2,Segmento operacional agrupado com 2 viagens reais.
435,2,2,29,duty_end,Fim de jornada,driver,,,18:03,18:03,0,,,0,1,1,,,,,,
435,3,3,1,duty_start,Início de jornada,driver,,,04:25,04:25,0,,,0,1,1,,,,,,
435,3,3,2,pullout,Soltura,driver,,,04:25,04:35,10,,,0,1,1,,,,,,
435,3,3,3,commercial_trip,Viagem,trip,1048,IDA,04:35,04:43,8,5427,5427,1,1,2,3,,,1,1,Segmento operacional agrupado com 2 viagens reais.
435,3,3,3,commercial_trip,Viagem,trip,1048,VOLTA,04:43,04:48,5,5428,5428,1,2,1,3,,,2,2,Segmento operacional agrupado com 2 viagens reais.
435,3,3,4,normal_break,Intervalo normal,driver,,,04:48,05:04,16,,,0,1,1,,3,3,,,
435,3,3,5,commercial_trip,Viagem,trip,1048,IDA,05:04,05:16,12,5434,5434,1,1,2,3,,,3,1,Segmento operacional agrupado com 2 viagens reais.
435,3,3,5,commercial_trip,Viagem,trip,1048,VOLTA,05:16,05:22,6,5435,5435,1,2,1,3,,,4,2,Segmento operacional agrupado com 2 viagens reais.
435,3,3,6,normal_break,Intervalo normal,driver,,,05:22,05:40,18,,,0,1,1,,3,3,,,
435,3,3,7,commercial_trip,Viagem,trip,1067,IDA,05:40,06:16,36,5453,5453,1,1,2,3,,,5,1,Segmento operacional agrupado com 2 viagens reais.
