schedule_id,block_id,duty_id,driver_id,vehicle_id,sequence,event_type,event_label,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
435,,1,1,,1,duty_start,Início de jornada,05:15,05:15,0,1,1,,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,2,commercial_trip,Viagem,05:15,05:41,26,1,1,5437;5441,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,3,normal_break,Intervalo normal,05:41,06:00,19,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,4,commercial_trip,Viagem,06:00,06:27,27,1,1,5451;5457,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,5,normal_break,Intervalo normal,06:27,06:42,15,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,1,1,1,6,commercial_trip,Viagem,06:42,07:09,27,1,1,5470;5475,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,1,1,,7,duty_end,Fim de jornada,07:09,07:09,0,1,1,,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,2,2,,1,duty_start,Início de jornada,04:20,04:20,0,1,1,,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,2,2,,2,pullout,Soltura,04:20,04:30,10,1,1,,False,False,False,False,False,True,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,3,commercial_trip,Viagem,04:30,05:31,61,1,1,5431;5439,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,4,normal_break,Intervalo normal,05:31,05:49,18,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,5,commercial_trip,Viagem,05:49,06:08,19,1,1,5448;5449,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,6,normal_break,Intervalo normal,06:08,06:26,18,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,7,commercial_trip,Viagem,06:26,06:53,27,1,1,5463;5468,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,8,normal_break,Intervalo normal,06:53,07:10,17,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,9,commercial_trip,Viagem,07:10,07:39,29,1,1,5482;5487,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,10,normal_break,Intervalo normal,07:39,07:55,16,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,8,2,2,8,11,commercial_trip,Viagem,07:55,08:24,29,1,1,5498;5502,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,8,2,2,8,12,normal_break,Intervalo normal,08:24,08:47,23,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,13,commercial_trip,Viagem,08:47,09:08,21,1,1,5512;5514,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,2,2,2,2,14,normal_break,Intervalo normal,09:08,10:55,107,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,8,2,2,8,15,commercial_trip,Viagem,10:55,12:00,65,1,1,5553;5561,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,8,2,2,8,16,mandatory_rest,Descanso obrigatório,12:00,15:11,191,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,4,2,2,4,17,commercial_trip,Viagem,15:11,15:31,20,1,1,5609;5612,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,4,2,2,4,18,mandatory_rest,Descanso obrigatório,15:31,15:50,19,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,4,2,2,4,19,commercial_trip,Viagem,15:50,16:18,28,1,1,5620;5624,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,4,2,2,4,20,mandatory_rest,Descanso obrigatório,16:18,16:40,22,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,4,2,2,4,21,commercial_trip,Viagem,16:40,17:09,29,1,1,5633;5637,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,4,2,2,4,22,mandatory_rest,Descanso obrigatório,17:09,17:39,30,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,11,2,2,11,23,commercial_trip,Viagem,17:39,18:03,24,1,1,5648;5651,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,2,2,,24,duty_end,Fim de jornada,18:03,18:03,0,1,1,,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,3,3,,1,duty_start,Início de jornada,04:25,04:25,0,1,1,,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,3,3,,2,pullout,Soltura,04:25,04:35,10,1,1,,False,False,False,False,False,True,False,False,,,Motorista real não disponível; usando identificador da duty
435,3,3,3,3,3,commercial_trip,Viagem,04:35,04:48,13,1,1,5427;5428,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,3,3,3,3,4,normal_break,Intervalo normal,04:48,05:04,16,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,3,3,3,3,5,commercial_trip,Viagem,05:04,05:22,18,1,1,5434;5435,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,3,3,3,3,6,normal_break,Intervalo normal,05:22,05:40,18,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,3,3,3,3,7,commercial_trip,Viagem,05:40,06:42,62,1,1,5453;5464,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,3,3,3,3,8,normal_break,Intervalo normal,06:42,06:59,17,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,11,3,3,11,9,commercial_trip,Viagem,06:59,07:19,20,1,1,5476;5480,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,11,3,3,11,10,normal_break,Intervalo normal,07:19,07:40,21,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,9,3,3,9,11,commercial_trip,Viagem,07:40,08:59,79,1,1,5503;5511,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,9,3,3,9,12,normal_break,Intervalo normal,08:59,09:15,16,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,3,3,1,13,commercial_trip,Viagem,09:15,09:43,28,1,1,5520;5524,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,1,3,3,1,14,normal_break,Intervalo normal,09:43,10:05,22,1,1,,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,13,3,3,13,15,commercial_trip,Viagem,10:05,11:14,69,1,1,5541;5549,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,13,3,3,13,16,mandatory_rest,Descanso obrigatório,11:14,11:45,31,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,13,3,3,13,17,commercial_trip,Viagem,11:45,12:50,65,1,1,5565;5572,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,13,3,3,13,18,mandatory_rest,Descanso obrigatório,12:50,13:11,21,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,13,3,3,13,19,commercial_trip,Viagem,13:11,13:32,21,1,1,5580;5582,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,13,3,3,13,20,mandatory_rest,Descanso obrigatório,13:32,14:23,51,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,6,3,3,6,21,commercial_trip,Viagem,14:23,14:44,21,1,1,5598;5600,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,6,3,3,6,22,mandatory_rest,Descanso obrigatório,14:44,15:05,21,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,12,3,3,12,23,commercial_trip,Viagem,15:05,16:17,72,1,1,5615;5623,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,12,3,3,12,24,mandatory_rest,Descanso obrigatório,16:17,16:45,28,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,5,3,3,5,25,commercial_trip,Viagem,16:45,17:07,22,1,1,5634;5636,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,5,3,3,5,26,mandatory_rest,Descanso obrigatório,17:07,17:40,33,1,1,,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
435,8,3,3,8,27,commercial_trip,Viagem,17:40,18:11,31,1,1,5650;5653,True,True,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
435,,3,3,,28,duty_end,Fim de jornada,18:11,18:11,0,1,1,,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
