schedule_id,block_id,duty_id,driver_id,vehicle_id,sequence,event_type,event_label,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
428,1,96,,1,1,commercial_trip,Viagem,05:15,05:29,14,1,2,5437,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,96,,1,2,commercial_trip,Viagem,05:29,05:41,12,2,1,5441,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,96,,1,3,idle,Ociosa,05:41,06:00,19,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,96,,1,4,commercial_trip,Viagem,06:00,06:15,15,1,2,5451,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,96,,1,5,commercial_trip,Viagem,06:15,06:27,12,2,1,5457,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,96,,1,6,idle,Ociosa,06:27,06:42,15,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,96,,1,7,commercial_trip,Viagem,06:42,06:57,15,1,2,5470,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,96,,1,8,commercial_trip,Viagem,06:57,07:09,12,2,1,5475,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,1,commercial_trip,Viagem,04:30,05:06,36,1,2,5431,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,2,commercial_trip,Viagem,05:06,05:31,25,2,1,5439,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,3,idle,Ociosa,05:31,05:49,18,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,4,commercial_trip,Viagem,05:49,06:01,12,1,2,5448,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,5,commercial_trip,Viagem,06:01,06:08,7,2,1,5449,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,6,idle,Ociosa,06:08,06:26,18,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,7,commercial_trip,Viagem,06:26,06:41,15,1,2,5463,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,8,commercial_trip,Viagem,06:41,06:53,12,2,1,5468,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,9,idle,Ociosa,06:53,07:10,17,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,10,commercial_trip,Viagem,07:10,07:26,16,1,2,5482,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,11,commercial_trip,Viagem,07:26,07:39,13,2,1,5487,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,12,idle,Ociosa,07:39,07:55,16,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,13,commercial_trip,Viagem,07:55,08:11,16,1,2,5498,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,14,commercial_trip,Viagem,08:11,08:24,13,2,1,5502,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,97,,2,15,idle,Ociosa,08:24,08:47,23,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,8,97,,8,16,commercial_trip,Viagem,08:47,09:00,13,1,2,5512,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
