schedule_id,duty_id,driver_id,driver_display_name,operator_not_assigned,duty_start,duty_end,sequence,event_type,event_label,event_scope,line_code,direction,start_time,end_time,duration_minutes,trip_id,trip_ids,trip_count,origin_id,destination_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence_in_duty,sequence_in_bundle,mandatory_rest_required,has_valid_mandatory_rest,issue_severity,issue_codes,issue_explanation,explanation
448,1,1,Operador não atribuído (D1),True,04:20,13:26,1,duty_start,Início de jornada,driver,,,04:20,04:20,0,,,0,1,1,,,,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,2,pullout,Soltura,driver,,,04:20,04:30,10,,,0,1,1,,,,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,3,commercial_trip,Viagem,trip,1042,IDA,04:30,04:43,13,5426,5426,1,1,2,1,,,1,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,3,commercial_trip,Viagem,trip,1042,VOLTA,04:43,04:52,9,5429,5429,1,2,1,1,,,2,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,4,driver_vehicle_change,Troca de veículo,driver,,,04:52,04:52,0,,,0,1,1,,1,6,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,5,driver_vehicle_change,Troca de veículo,driver,,,04:52,04:52,0,,,0,1,1,,1,6,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,6,normal_break,Intervalo normal,driver,,,04:52,05:04,12,,,0,1,1,,1,6,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,7,commercial_trip,Viagem,trip,1048,IDA,05:04,05:16,12,5434,5434,1,1,2,6,,,3,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,7,commercial_trip,Viagem,trip,1048,VOLTA,05:16,05:22,6,5435,5435,1,2,1,6,,,4,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,8,normal_break,Intervalo normal,driver,,,05:22,05:40,18,,,0,1,1,,6,6,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,9,commercial_trip,Viagem,trip,1067,IDA,05:40,06:16,36,5453,5453,1,1,2,6,,,5,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,9,commercial_trip,Viagem,trip,1067,VOLTA,06:16,06:42,26,5464,5464,1,2,1,6,,,6,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,10,driver_vehicle_change,Troca de veículo,driver,,,06:42,06:42,0,,,0,1,1,,6,2,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,11,driver_vehicle_change,Troca de veículo,driver,,,06:42,06:42,0,,,0,1,1,,6,2,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,12,normal_break,Intervalo normal,driver,,,06:42,06:59,17,,,0,1,1,,6,2,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,13,commercial_trip,Viagem,trip,1048,IDA,06:59,07:10,11,5476,5476,1,1,2,2,,,7,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,13,commercial_trip,Viagem,trip,1048,VOLTA,07:10,07:19,9,5480,5480,1,2,1,2,,,8,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,14,driver_vehicle_change,Troca de veículo,driver,,,07:19,07:19,0,,,0,1,1,,2,8,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,15,driver_vehicle_change,Troca de veículo,driver,,,07:19,07:19,0,,,0,1,1,,2,8,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,16,normal_break,Intervalo normal,driver,,,07:19,07:40,21,,,0,1,1,,2,8,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,17,commercial_trip,Viagem,trip,1067,IDA,07:40,08:32,52,5503,5503,1,1,2,8,,,9,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,17,commercial_trip,Viagem,trip,1067,VOLTA,08:32,08:59,27,5511,5511,1,2,1,8,,,10,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
