schedule_id,duty_id,driver_id,sequence_in_duty,segment_sequence,sequence_in_bundle,bundle_trip_count,bundle_event_type,source_trip_id,public_trip_id,line_id,line_code,direction,start_time,end_time,duration_minutes,origin_id,destination_id,block_id,vehicle_id,sequence_in_block,trip_group_id,pair_id
435,1,1,1,2,1,2,commercial_trip_bundle,5437,2201,,1042,IDA,05:15,05:29,14,1,2,1,1,3,,P100
435,1,1,2,2,2,2,commercial_trip_bundle,5441,2202,,1042,VOLTA,05:29,05:41,12,2,1,1,1,4,,P100
435,1,1,3,4,1,2,commercial_trip_bundle,5451,2207,,1042,IDA,06:00,06:15,15,1,2,1,1,5,,P103
435,1,1,4,4,2,2,commercial_trip_bundle,5457,2208,,1042,VOLTA,06:15,06:27,12,2,1,1,1,6,,P103
435,1,1,5,6,1,2,commercial_trip_bundle,5470,2217,,1042,IDA,06:42,06:57,15,1,2,1,1,7,,P108
435,1,1,6,6,2,2,commercial_trip_bundle,5475,2218,,1042,VOLTA,06:57,07:09,12,2,1,1,1,8,,P108
435,2,2,1,3,1,2,commercial_trip_bundle,5431,2105,,1067,IDA,04:30,05:06,36,1,2,2,2,1,,P052
435,2,2,2,3,2,2,commercial_trip_bundle,5439,2106,,1067,VOLTA,05:06,05:31,25,2,1,2,2,2,,P052
435,2,2,3,5,1,2,commercial_trip_bundle,5448,2019,,1048,IDA,05:49,06:01,12,1,2,2,2,3,,P009
435,2,2,4,5,2,2,commercial_trip_bundle,5449,2020,,1048,VOLTA,06:01,06:08,7,2,1,2,2,4,,P009
435,2,2,5,7,1,2,commercial_trip_bundle,5463,2213,,1042,IDA,06:26,06:41,15,1,2,2,2,5,,P106
435,2,2,6,7,2,2,commercial_trip_bundle,5468,2214,,1042,VOLTA,06:41,06:53,12,2,1,2,2,6,,P106
435,2,2,7,9,1,2,commercial_trip_bundle,5482,2223,,1042,IDA,07:10,07:26,16,1,2,2,2,7,,P111
435,2,2,8,9,2,2,commercial_trip_bundle,5487,2224,,1042,VOLTA,07:26,07:39,13,2,1,2,2,8,,P111
435,2,2,9,12,1,2,commercial_trip_bundle,5498,2229,,1042,IDA,07:55,08:11,16,1,2,8,8,9,,P114
435,2,2,10,12,2,2,commercial_trip_bundle,5502,2230,,1042,VOLTA,08:11,08:24,13,2,1,8,8,10,,P114
435,2,2,11,15,1,2,commercial_trip_bundle,5512,2037,,1048,IDA,08:47,09:00,13,1,2,2,2,11,,P018
435,2,2,12,15,2,2,commercial_trip_bundle,5514,2038,,1048,VOLTA,09:00,09:08,8,2,1,2,2,12,,P018
435,2,2,13,18,1,2,commercial_trip_bundle,5553,2141,,1067,IDA,10:55,11:34,39,1,2,8,8,13,,P070
435,2,2,14,18,2,2,commercial_trip_bundle,5561,2142,,1067,VOLTA,11:34,12:00,26,2,1,8,8,14,,P070
435,2,2,15,21,1,2,commercial_trip_bundle,5609,2069,,1048,IDA,15:11,15:23,12,1,2,4,4,13,,P034
435,2,2,16,21,2,2,commercial_trip_bundle,5612,2070,,1048,VOLTA,15:23,15:31,8,2,1,4,4,14,,P034
435,2,2,17,23,1,2,commercial_trip_bundle,5620,2271,,1042,IDA,15:50,16:07,17,1,2,4,4,15,,P135
435,2,2,18,23,2,2,commercial_trip_bundle,5624,2272,,1042,VOLTA,16:07,16:18,11,2,1,4,4,16,,P135
435,2,2,19,25,1,2,commercial_trip_bundle,5633,2275,,1042,IDA,16:40,16:58,18,1,2,4,4,17,,P137
435,2,2,20,25,2,2,commercial_trip_bundle,5637,2276,,1042,VOLTA,16:58,17:09,11,2,1,4,4,18,,P137
435,2,2,21,28,1,2,commercial_trip_bundle,5648,2085,,1048,IDA,17:39,17:55,16,1,2,11,11,19,,P042
435,2,2,22,28,2,2,commercial_trip_bundle,5651,2086,,1048,VOLTA,17:55,18:03,8,2,1,11,11,20,,P042
435,3,3,1,3,1,2,commercial_trip_bundle,5427,2013,,1048,IDA,04:35,04:43,8,1,2,3,3,1,,P006
435,3,3,2,3,2,2,commercial_trip_bundle,5428,2014,,1048,VOLTA,04:43,04:48,5,2,1,3,3,2,,P006
435,3,3,3,5,1,2,commercial_trip_bundle,5434,2015,,1048,IDA,05:04,05:16,12,1,2,3,3,3,,P007
